,loss,mean_absolute_error,mean_absolute_percentage_error
0,220197320.573,14428.8884178,100.901096736
1,63555768.385,4488.82362266,31.519867391
2,151268.606081,239.891889428,1.83068047469
3,151146.728037,244.856824354,1.86422369181
4,152876.544902,258.318617995,1.94478340327
5,143171.782441,243.508785048,1.84555963378
6,143008.94904,247.933668583,1.87519503067
7,141965.645195,249.235238309,1.87666884957
8,133757.516196,236.09228831,1.78313936403
9,131199.941997,237.595754161,1.79544283727
10,127217.311789,231.836459041,1.75868685901
11,134051.481894,239.057415338,1.80580950643
12,123892.047667,228.273169132,1.73235266359
13,126917.317369,237.002885246,1.78862544984
14,125850.79653,237.998616298,1.80423037115
15,119918.459844,226.59360406,1.7189358136
16,118572.42044,226.806157505,1.71861846783
17,118005.10093,223.815792099,1.69661332728
18,118549.612591,227.427068902,1.71748866485
19,116126.68424,222.568175015,1.68822938144
20,119039.611008,230.245260547,1.7369894017
21,109217.752058,214.915401761,1.63473183925
22,124873.438877,240.229926852,1.8048569216
23,112888.537378,220.453039845,1.66688292537
24,112128.308239,219.833459107,1.66407764229
25,110240.933954,222.773333421,1.68311078078
26,112535.671422,219.402155376,1.66533188531
27,113389.481871,221.551254909,1.6669981225
28,111437.201272,224.768599129,1.69811541977
29,112155.472387,223.169403202,1.67655125567
30,110313.812857,222.508235123,1.68455543569
31,106424.526375,216.793265217,1.63203452073
32,111618.519372,224.991841718,1.70500345653
33,107580.212102,216.010479554,1.63896779737
34,108110.605585,218.901384104,1.65700031141
35,105738.882277,214.882205517,1.62786348387
36,108249.999971,221.523488536,1.67929733566
37,106024.304624,213.918409149,1.62428195386
38,102395.364185,209.979012221,1.59472011115
39,105155.105623,215.974906989,1.63543105319
40,103722.896857,217.608223253,1.64239413313
41,105568.679502,220.551307091,1.67351006846
42,106406.834353,216.715615596,1.64418517191
43,102670.463504,213.921789271,1.62831531183
44,101467.352439,210.151661074,1.59290119868
45,106100.886377,217.225016515,1.64171500653
46,107990.909412,223.757515173,1.69298088732
47,100104.978333,212.252790629,1.60720824573
48,101977.184298,213.924577607,1.61487364348
49,108866.337484,222.964724475,1.67240469632
50,100439.993677,209.241335947,1.58452109531
51,105059.160584,219.072640653,1.65486943566
52,99626.7214113,210.556868279,1.59379430073
53,99690.1679812,212.575562312,1.60708907817
54,99254.6432703,215.943715192,1.63047675809
55,98075.8781065,207.509695666,1.57722513032
56,105925.411424,222.690378078,1.67265009779
57,95901.7828737,205.267999314,1.56065056732
58,95275.535295,205.681346452,1.55362134189
59,98005.9039395,207.902276371,1.58395245951
60,96387.9715067,209.932454618,1.58034624518
61,97283.7857114,206.578819145,1.56288912525
62,96620.1953315,205.70303153,1.55629631907
63,94454.0018803,202.760779461,1.53529626534
64,98002.0957738,207.338444851,1.57294080733
65,99282.7311137,210.429628149,1.5870830873
66,92955.7349711,202.241837704,1.53206931528
67,100370.481582,212.563454772,1.60266282399
68,100863.748529,216.506217773,1.6347317444
69,93353.3176507,205.280504532,1.55495479759
70,94028.179966,204.579037911,1.54442906774
71,94258.3336215,206.408008157,1.55940526284
72,98018.9071876,209.986224906,1.58642077592
73,94039.7082366,207.462990116,1.56276131381
74,90301.5831504,203.536013824,1.54390829368
75,93236.3849728,202.664547054,1.53691363192
76,90395.0182825,200.11709403,1.51849726073
77,94293.5140871,205.383597535,1.56268406719
78,97390.871101,211.243583818,1.58565951356
79,92669.1941691,205.742138758,1.54984908588
80,96921.0420675,214.161210226,1.60590587769
81,90398.4262684,197.0343629,1.49753473601
82,95314.7954759,210.527612978,1.59019501758
83,93570.64294,206.269378716,1.56079874803
84,93751.7146505,206.288634143,1.55785184941
85,89774.9208232,197.195690968,1.50096996995
86,96269.3603579,204.516849574,1.54300579335
87,91723.11737,204.052564924,1.53746046172
88,94231.378322,207.224480352,1.56020794536
89,95464.7250514,206.591358483,1.56305342545
90,93727.6810466,207.233770885,1.56282639213
91,87052.5394296,198.030122624,1.50961249394
92,87908.0165651,200.046413097,1.51243045023
93,90928.5755569,200.579131381,1.51669175661
94,92516.134734,204.136922033,1.53934394619
95,91884.2444394,203.534485329,1.53562987616
96,91027.0438795,200.46473193,1.51079143356
97,90771.2194836,200.543801953,1.51678769718
98,90163.4836316,201.917133826,1.522885249
99,89755.0691454,199.588355395,1.50908201582
100,87422.0303879,200.303619474,1.51833345402
101,91288.7208118,202.753845752,1.53121688384
102,88205.1646714,199.945312787,1.51162563721
103,87615.0651032,199.864137391,1.5123387493
104,87523.0310492,199.60661419,1.50806677984
105,88131.03766,201.174057786,1.51727366595
106,84417.001376,192.858391556,1.46406703155
107,87744.387059,200.896847647,1.52144102797
108,88571.256544,199.88327297,1.51287621448
109,88165.9519938,199.837281062,1.51024259085
110,87962.9895381,198.079133102,1.50086618059
111,88366.1950205,200.089922024,1.5071067206
112,83126.236582,195.790103001,1.47904299889
113,86247.3000129,199.270215073,1.50907623954
114,90598.1310189,203.710553584,1.5333214179
115,87916.0289295,200.589433743,1.51699455117
116,83914.2501513,192.154947726,1.45796847736
117,87257.7370935,198.254394245,1.49700876746
118,88094.0561551,202.295674511,1.52220641781
119,86557.7106257,196.262023532,1.48167829547
120,87954.425159,202.191740277,1.52464848202
121,85275.0938485,193.690225831,1.4620273138
122,85336.0035381,195.45316084,1.47792676726
123,82280.6848537,188.604620351,1.42886613659
124,84192.5282118,189.323866947,1.44083330961
125,89698.0376269,205.17629849,1.53812499872
126,85657.3093532,201.805313119,1.51792739125
127,86137.5529196,199.94172336,1.50883234416
128,84171.355899,194.28913418,1.46532069306
129,82493.0687357,190.564187624,1.44032858644
130,80468.4316219,190.090432669,1.44300995123
131,83940.9193805,197.149871378,1.48331018005
132,83147.337253,193.489151153,1.46085351263
133,86666.2418196,196.617622738,1.48961026634
134,79311.8279182,187.319861779,1.42324727659
